Uniprot ID,Protein names,Predicted Class by Proteintox
C0JB37,Dermonecrotic toxin SpeSicTox-betaIB2a       ,Non-toxic
C0JB38,Dermonecrotic toxin SpeSicTox-betaIB2b       ,Non-toxic
C0JB39,Dermonecrotic toxin StSicTox-betaIC1       ,Non-toxic
C0JB40,Dermonecrotic toxin LcsSicTox-betaIC1       ,Non-toxic
C0JB41,Dermonecrotic toxin LspiSicTox-betaIE2i       ,Non-toxic
C0JB42,Dermonecrotic toxin LspiSicTox-betaIE2ii       ,Non-toxic
C0JB43,Dermonecrotic toxin LspiSicTox-betaIE2iii       ,Non-toxic
C0JB44,Dermonecrotic toxin LspiSicTox-betaIE3i       ,Non-toxic
C0JB45,Dermonecrotic toxin LspiSicTox-betaIE3ii       ,Non-toxic
C0JB46,Dermonecrotic toxin LspiSicTox-betaIE4i       ,Non-toxic
C0JB47,Dermonecrotic toxin LspiSicTox-betaIE4ii       ,Non-toxic
C0JB48,Dermonecrotic toxin LafSicTox-betaIE2       ,Non-toxic
C0JB49,Dermonecrotic toxin LspiSicTox-betaIE1i       ,Non-toxic
C0JB50,Dermonecrotic toxin LspiSicTox-betaIE1ii       ,Non-toxic
C0JB51,Dermonecrotic toxin LafSicTox-betaIE1       ,Non-toxic
C0JB52,Dermonecrotic toxin SpaSicTox-betaIF1       ,Non-toxic
C0JB53,Dermonecrotic toxin SpeSicTox-betaIF1       ,Non-toxic
C0JB54,Dermonecrotic toxin StSicTox-betaIF1       ,Non-toxic
C0JB55,Dermonecrotic toxin SdSicTox-betaIF1       ,Non-toxic
C0JB56,Dermonecrotic toxin SpeSicTox-betaIIA3i       ,Non-toxic
C0JB57,Dermonecrotic toxin SpeSicTox-betaIIA3ii       ,Non-toxic
C0JB58,Dermonecrotic toxin SpeSicTox-betaIIA2ii       ,Non-toxic
C0JB60,Dermonecrotic toxin SpeSicTox-betaIIA2i       ,Non-toxic
C0JB61,Dermonecrotic toxin SpeSicTox-betaIIA2iii       ,Non-toxic
C0JB62,Dermonecrotic toxin SpeSicTox-betaIIA2iv       ,Non-toxic
C0JB65,Dermonecrotic toxin SpeSicTox-betaIIA2v       ,Non-toxic
C0JB67,Dermonecrotic toxin SpeSicTox-betaIIA1       ,Non-toxic
C0JB68,Dermonecrotic toxin SpaSicTox-betaIIA1       ,Non-toxic
C0JB69,Dermonecrotic toxin SpaSicTox-betaIIA2       ,Non-toxic
C0JB70,Dermonecrotic toxin SpaSicTox-betaIIA3       ,Non-toxic
C0JB71,Dermonecrotic toxin SdSicTox-betaIIB1bi       ,Non-toxic
C0JB72,Dermonecrotic toxin SdSicTox-betaIIB1bii       ,Non-toxic
C0JB73,Dermonecrotic toxin SdSicTox-betaIIB1biii       ,Non-toxic
C0JB74,Dermonecrotic toxin SdSicTox-betaIIB1biv       ,Non-toxic
C0JB75,Dermonecrotic toxin SdSicTox-betaIIB1bv       ,Non-toxic
C0JB76,Dermonecrotic toxin SdSicTox-betaIIB1ai       ,Non-toxic
C0JB77,Dermonecrotic toxin SdSicTox-betaIIB1aii       ,Non-toxic
C0JB78,Dermonecrotic toxin SdSicTox-betaIIB1aiii       ,Non-toxic
C0JB79,Dermonecrotic toxin SdSicTox-betaIIB1ai       ,Non-toxic
C0JB80,Dermonecrotic toxin SdSicTox-betaIIB1bvi       ,Non-toxic
C0JB81,Dermonecrotic toxin SdSicTox-betaIIB1bvii       ,Non-toxic
C0JB82,Dermonecrotic toxin SdSicTox-betaIIB1bviii       ,Non-toxic
C0JB83,Dermonecrotic toxin SdSicTox-betaIIB1bix       ,Non-toxic
C0JB84,Dermonecrotic toxin SdSicTox-betaIIB1bx       ,Non-toxic
C0JB85,Dermonecrotic toxin SdSicTox-betaIIB1bxi       ,Non-toxic
C0JB86,Dermonecrotic toxin SdSicTox-betaIIB1bxii       ,Non-toxic
C0JB87,Dermonecrotic toxin SdSicTox-betaIIB1bxiii       ,Non-toxic
C0JB88,Dermonecrotic toxin SdSicTox-betaIIB1bxiv       ,Non-toxic
C0JB89,Dermonecrotic toxin SdSicTox-betaIIB2i       ,Non-toxic
C0JB90,Dermonecrotic toxin SdSicTox-betaIIB2ii       ,Non-toxic
C0JB91,Dermonecrotic toxin SaSicTox-betaIIB1       ,Non-toxic
C0JB92,Dermonecrotic toxin LspiSicTox-betaIII1 G       ,Non-toxic
C0JB93,Dermonecrotic toxin LspiSicTox-betaIII2       ,Non-toxic
C0JB94,Dermonecrotic toxin LspiSicTox-betaIII1 B       ,Non-toxic
C0K3N1,Snake venom vascular endothelial growth factor toxin barietin  ,Non-toxic
C0K3N3,Snake venom vascular endothelial growth factor toxin cratrin  ,Non-toxic
C0K3N4,Vascular endothelial growth factor A ,Non-toxic
C0K3N5,Vascular endothelial growth factor A ,Non-toxic
C0LZJ5,Disintegrin-like leberagin-C,Non-toxic
C1IC45,Acidic phospholipase A2 PL-II   ,Neurotoxic
C1IC46,Acidic phospholipase A2 PL-I   ,Neurotoxic
C1IC47,Three-finger toxin W-III,Neurotoxic
C1IC49,Three-finger toxin W-V,Neurotoxic
C1J5M6,Mu-conotoxin BuIIIB ,Neurotoxic
C1JAR9,Phospholipase A2 Scol/Pla  ,Non-toxic
C3VVN5,Alpha-conotoxin Ms20.3 ,Neurotoxic
C3VVN6,Alpha-conotoxin Cp20.3 ,Neurotoxic
C4PWC4,Alpha-conotoxin-like Mi20.1  ,Neurotoxic
C5H5D1,Zinc metalloproteinase-disintegrin-like crotastatin      ,Non-toxic
C5H5D2,Zinc metalloproteinase-disintegrin-like batroxstatin-1     ,Non-toxic
C5H5D4,Zinc metalloproteinase-disintegrin-like batroxstatin-3     ,Non-toxic
C5J886,Amphipathic peptide OcyC1   ,Non-toxic
C5J887,Amphipathic peptide OcyC2   ,Non-toxic
C5NSL2,DELTA-actitoxin-Aas1a   ,Non-toxic
C7B247,Imcroporin  ,Non-toxic
C7DT09,Venom peptide 3  ,Non-toxic
C7G1G6,Basic phospholipase A2 BP-III     ,Neurotoxic
C9DPL5,Acidic phospholipase A2 BpirPLA2-I   ,Neurotoxic
C9E1R7,Zinc metalloproteinase-disintegrin VMP-II    ,Non-toxic
C9E1R8,Zinc metalloproteinase-disintegrin-like VMP-III    ,Non-toxic
C9E1R9,Zinc metalloproteinase/disintegrin VMP-II ,Non-toxic
C9E1S0,Zinc metalloproteinase-disintegrin-like VMP-III    ,Non-toxic
C9E1S1,Zinc metalloproteinase/disintegrin VMP-II  ,Non-toxic
D0UGJ0,Acidic phospholipase A2 BpPLA2-TXI   ,Neurotoxic
D1MEI6,Eumenitin VP1   ,Non-toxic
D1MGU0,Snaclec jerdonibitin subunit alpha ,Non-toxic
D1MGU1,Snaclec jerdonibitin subunit beta ,Non-toxic
D2Y204,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y205,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y207,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y208,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y209,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y210,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y211,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y212,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y228,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y230,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y2D5,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y2I9,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y2K5,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y2K7,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y2K8,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y2K9,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y2L2,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2Y2L3,U4-theraphotoxin-Hhn1a    ,Neurotoxic
D2YZQ3,DELTA-thalatoxin-Avl1b   ,Non-toxic
D3JXM1,Potassium channel toxin alpha-KTx 16.4  ,Neurotoxic
D5J6X1,Omega-theraphotoxin-Pm1a    ,Neurotoxic
D6MKR0,Acidic phospholipase A2 CH-E6'    ,Neurotoxic
D8KY58,Kunitz-type serine protease inhibitor Bt-KTI,Neurotoxic
D8VNS0,Zinc metalloproteinase-disintegrin-like   ,Non-toxic
D9IX97,Natriuretic peptide Na-NP,Non-toxic
E2ITZ3,Alpha-elapitoxin-Na1a  ,Neurotoxic
E3P6S4,Delta-aiptatoxin-Adi1a   ,Neurotoxic
E5D3Z9,Dermonecrotic toxin        ,Non-toxic
E7BLC7,Toxin Acra3,Neurotoxic
E7CAU3,Neurotoxin BmK AGP-SYPU1,Neurotoxic
E7D082,Sodium channel neurotoxin MeuNaTxalpha-5* ,Neurotoxic
E9NW26,Zinc metalloproteinase/disintegrin PMMP-1 ,Non-toxic
E9NW27,Zinc metalloproteinase/disintegrin PMMP-2 ,Non-toxic
F1AWB0,Vejovine  ,Non-toxic
F1CGT6,Beta-neurotoxin Css9  ,Neurotoxic
F5C0A0,Alpha-conotoxin ViIA ,Neurotoxic
F5C3U4,Alpha-conotoxin Mr1.7a  ,Neurotoxic
F5CPF0,Phospholipase A2  ,Neurotoxic
F5CPF1,Phospholipase A2 MALT0035C  ,Neurotoxic
F8QN51,Acidic phospholipase A2 Vur-PL3   ,Neurotoxic
F8QN52,Acidic phospholipase A2 PL1   ,Neurotoxic
F8RKV9,Zinc metalloproteinase-disintegrin-like MTP9   ,Non-toxic
F8RKW0,Zinc metalloproteinase-disintegrin-like MTP8   ,Non-toxic
F8RKW1,Zinc metalloproteinase-disintegrin-like MTP4   ,Non-toxic
F8RKW5,Venom nerve growth factor  ,Non-toxic
F8S0Z5,L-amino-acid oxidase   ,Non-toxic
F8S0Z7,Snake venom 5'-nucleotidase   ,Non-toxic
F8S108,Zinc metalloproteinase-disintegrin-like 4a   ,Non-toxic
G3DT18,Acidic phospholipase A2 BmooPLA2   ,Neurotoxic
G8YYA5,Antimicrobial peptide 1   ,Non-toxic
G8YYA6,Antimicrobial peptide 2   ,Non-toxic
G9I929,Kunitz-type neurotoxin MitTx-alpha,Neurotoxic
H6VC05,Kunitz-type serine protease inhibitor DrKIn-I ,Neurotoxic
H6VC06,Kunitz-type serine protease inhibitor DrKIn-II ,Neurotoxic
I0CME7,Hyaluronidase conohyal-Cn1   ,Non-toxic
I1SB07,Mu-conotoxin CnIIIC,Neurotoxic
I1VC85,Secapin-2,Non-toxic
I6RA66,Kappa-scoloptoxin-Ssm2a -Ssm2a  ,Neurotoxic
I6RU32,Kappa-scoloptoxin-Ssm1a -Ssm1a  ,Neurotoxic
I6S7G5,Kappa-scoloptoxin-Ssm3a -Ssm3a  ,Neurotoxic
I7GQA7,Phospholipase A2  ,Non-toxic
J3RZ81,Putative endothelial lipase ,Non-toxic
J3S829,Zinc metalloproteinase-disintegrin-like 2a   ,Non-toxic
J3S830,Zinc metalloproteinase-disintegrin-like 3a   ,Non-toxic
J3S836,Venom factor    ,Non-toxic
J3SBP3,Venom phosphodiesterase 2  ,Non-toxic
J3SBP9,Zinc metalloproteinase-disintegrin 8   ,Non-toxic
J3SDW6,Zinc metalloproteinase-disintegrin-like 2d   ,Non-toxic
J3SDW8,Zinc metalloproteinase-disintegrin-like 8   ,Non-toxic
J3SEZ3,Venom phosphodiesterase 1  ,Non-toxic
J7GY56,Alpha-conotoxin GeXIVA   ,Neurotoxic
J9Z332,Zinc metalloproteinase-disintegrin VMP-II     ,Non-toxic
K4RNX9,Alpha-conotoxin TxIB,Neurotoxic
K7N5K9,U1-theraphotoxin-Sp1a   ,Non-toxic
K7Z9Q9,Nematocyst expressed protein 6    ,Non-toxic
K9MCH1,Three-finger toxin A1  ,Neurotoxic
K9N7B7,L-amino acid oxidase Cdc18   ,Non-toxic
L0GCI6,Antimicrobial peptide UyCT3     ,Non-toxic
M1JBC0,Sodium channel alpha-toxin Acra4,Neurotoxic
O13069,Thrombin-like enzyme KN-BJ 2   ,Non-toxic
O42138,Zinc metalloproteinase-disintegrin-like ACLD     ,Non-toxic
O42191,Acidic phospholipase A2 A   ,Non-toxic
O42207,Thrombin-like enzyme CPI-enzyme 2   ,Non-toxic
O46028,Potassium channel toxin alpha-KTx 10.1   ,Neurotoxic
O46167,U1-agatoxin-Ta1b   ,Neurotoxic
O46168,U1-agatoxin-Ta1c   ,Neurotoxic
O73795,Zinc metalloproteinase/disintegrin ,Non-toxic
O76199,Delta-ctenitoxin-Pn2c    ,Neurotoxic
O76963,Insect toxin OsI1 ,Neurotoxic
O77091,Beta-insect excitatory toxin BmK IT-AP   ,Neurotoxic
O77463,Toxin Ts4           ,Neurotoxic
O93426,Snaclec convulxin subunit alpha ,Non-toxic
O93427,Snaclec convulxin subunit beta ,Non-toxic
P00595,Basic phospholipase A2 DE-1   ,Neurotoxic
P00600,Acidic phospholipase A2 DE-II   ,Neurotoxic
P00601,Acidic phospholipase A2 DE-III   ,Neurotoxic
P00602,Acidic phospholipase A2 CM-I   ,Neurotoxic
P00604,Basic phospholipase A2 CM-III   ,Neurotoxic
P00605,Phospholipase A2 'basic'     ,Neurotoxic
P00606,Acidic phospholipase A2   ,Neurotoxic
P00609,Basic phospholipase A2 notechis II-5   ,Neurotoxic
P00610,Basic phospholipase A2      ,Neurotoxic
P00612,Basic phospholipase A2 3    ,Neurotoxic
P00613,Basic phospholipase A2 4    ,Neurotoxic
P00620,Acidic phospholipase A2   ,Neurotoxic
P00621,Acidic phospholipase A2 CM-II   ,Neurotoxic
P00622,Basic phospholipase A2 caudoxin   ,Neurotoxic
P00979,Kunitz-type serine protease inhibitor homolog dendrotoxin I   ,Neurotoxic
P00983,Mambaquaretin-7         ,Neurotoxic
P00987,"Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B1 chain, major component ",Neurotoxic
P00989,Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B2 chain ,Neurotoxic
P00991,Kunitz-type serine protease inhibitor 1   ,Neurotoxic
P00992,Kunitz-type serine protease inhibitor 3   ,Neurotoxic
P01140,Venom nerve growth factor  ,Non-toxic
P01379,Alpha-elapitoxin-Ls2a      ,Neurotoxic
P01382,Alpha-elapitoxin-Nno2a       ,Neurotoxic
P01404,Toxin F-VIII  ,Neurotoxic
P01442,Cytotoxin 2       ,Cardiotoxic
P01443,Cytotoxin 4      ,Cardiotoxic
P01448,Cytotoxin 1 1,Cardiotoxic
P01452,Cytotoxin 4   4,Cardiotoxic
P01467,Cytotoxin 1    1,Cardiotoxic
P01469,Cytotoxin 2    2,Cardiotoxic
P01476,Myotoxin-A ,Neurotoxic
P01478,Delta-hexatoxin-Ar1a      ,Neurotoxic
P01480,Alpha-mammal toxin Aah3    ,Neurotoxic
P01481,Alpha-mammal toxin Lqq5   ,Neurotoxic
P01483,Neurotoxin Bot2   ,Neurotoxic
P01491,Beta-toxin CsEI  ,Neurotoxic
P01493,Toxin CsEv2  ,Neurotoxic
P01494,Toxin CsEv3  ,Neurotoxic
P01495,Beta-mammal toxin Cn2  ,Neurotoxic
P01497,Beta-insect excitatory toxin 1      ,Neurotoxic
P01514,Mastoparan-L  ,Non-toxic
P01518,Crabrolin,Non-toxic
P01534,Delta-stichotoxin-Hmg4a     ,Neurotoxic
P02852,Secapin,Non-toxic
P04056,Basic phospholipase A2 PA-11   ,Neurotoxic
P04057,Basic phospholipase A2 PA-13   ,Neurotoxic
P04099,Alpha-toxin Bot9   ,Neurotoxic
P04205,Mastoparan-M  ,Non-toxic
P04417,Basic phospholipase A2    ,Non-toxic
P05486,Conopressin-conophysin ,Neurotoxic
P06860,Basic phospholipase A2 PL-X   ,Neurotoxic
P07037,Acidic phospholipase A2 CM-II   ,Neurotoxic
P07525,Cytotoxin 5       ,Cardiotoxic
P08815,Potassium channel toxin alpha-KTx 2.1   ,Neurotoxic
P08873,Basic phospholipase A2 notechis 11'2   ,Neurotoxic
P0C022,Eumenine mastoparan-AF  ,Non-toxic
P0C162,Potassium channel toxin alpha-KTx 2.9 ,Neurotoxic
P0C164,Potassium channel toxin alpha-KTx 2.11 ,Neurotoxic
P0C165,Potassium channel toxin alpha-KTx 2.12 ,Neurotoxic
P0C166,Potassium channel toxin alpha-KTx 6.12 ,Neurotoxic
P0C174,Potassium channel toxin epsilon-KTx 1.1   ,Neurotoxic
P0C175,Potassium channel toxin epsilon-KTx 1.2   ,Neurotoxic
P0C194,Potassium channel toxin alpha-KTx 6.11 ,Neurotoxic
P0C1F4,Delta-actitoxin-Bgr2a    ,Cardiotoxic
P0C1F8,DELTA-stichotoxin-Hcr4b   ,Non-toxic
P0C1M8,Conotoxin r7a ,Neurotoxic
P0C1N1,Conotoxin mr3d  ,Neurotoxic
P0C1N5,Conotoxin mr3g ,Neurotoxic
P0C1N6,Conotoxin tx3h   ,Neurotoxic
P0C1N7,Conotoxin Tx3.5-a ,Neurotoxic
P0C1N8,Conotoxin tx3b ,Neurotoxic
P0C1Q5,Protonectarina mastoparan ,Non-toxic
P0C1Q7,Mastoparan-VT  ,Non-toxic
P0C1W3,Alpha-conotoxin RVIIIA ,Neurotoxic
P0C1W7,Alpha-conotoxin VxXXC ,Neurotoxic
P0C1W8,Alpha-conotoxin OIVB  ,Neurotoxic
P0C1X1,Conotoxin MIVA ,Neurotoxic
P0C1X2,Kunitz-type conkunitzin-S1 ,Neurotoxic
P0C1X7,Ardiscretin  ,Neurotoxic
P0C201,U1-theraphotoxin-Pc1a     ,Neurotoxic
P0C244,Tau/kappa-theraphotoxin-Pc1a   ,Neurotoxic
P0C245,Tau-theraphotoxin-Pc1b   ,Neurotoxic
P0C249,Contryphan-In  ,Neurotoxic
P0C280,Delta-actitoxin-Cgg1a     ,Neurotoxic
P0C2B0,Conotoxin ViVA  ,Neurotoxic
P0C2C5,Conotoxin PIVE  ,Neurotoxic
P0C2D2,L-amino-acid oxidase   ,Non-toxic
P0C2D3,L-amino-acid oxidase   ,Non-toxic
P0C2D5,L-amino-acid oxidase      ,Non-toxic
P0C2F4,Heteroscorpine-1 ,Non-toxic
P0C2K0,Dermonecrotic toxin LbSicTox-alphaIB1b        ,Non-toxic
P0C2K1,Dermonecrotic toxin LdSicTox-alpha-1       ,Non-toxic
P0C2K2,Dermonecrotic toxin LgSicTox-alphaI-1       ,Non-toxic
P0C2L0,Dermonecrotic toxin LiSicTox-alphaI-1       ,Non-toxic
P0C2L1,Dermonecrotic toxin LlSicTox-alphaIII-1       ,Non-toxic
P0C2X7,U1-theraphotoxin-Cg1a 1      ,Neurotoxic
P0C425,Conotoxin mr3f ,Neurotoxic
P0C551,Acidic phospholipase A2 KBf-grIB   ,Neurotoxic
P0C578,Thrombin-like enzyme okinaxobin-2      ,Neurotoxic
P0C590,Thrombin-like enzyme calobin-2      ,Neurotoxic
P0C5F2,Insecticidal toxin LaIT1,Neurotoxic
P0C5G6,Delta-halcutoxin-Hcg1a  ,Neurotoxic
P0C5I3,Beta-insect depressant toxin Lqh-dprIT3a,Neurotoxic
P0C5I4,Beta-insect depressant toxin Lqh-dprIT3b,Neurotoxic
P0C5I5,Beta-insect depressant toxin Lqh-dprIT3c,Neurotoxic
P0C5I6,Beta-insect depressant toxin Lqh-dprIT3d,Neurotoxic
P0C5X7,Kappa-theraphotoxin-Cg2a       ,Neurotoxic
P0C6B6,Zinc metalloproteinase homolog-disintegrin albolatin,Non-toxic
P0C6S0,Snake venom metalloproteinase BnP1  ,Non-toxic
P0C6S6,Snake venom metalloproteinase jararafibrase-4   ,Non-toxic
P0C7A9,Snake venom metalloproteinase bothrojaractivase  ,Non-toxic
P0C7P6,Bradykinin-potentiating and C-type natriuretic peptides  ,Non-toxic
P0C7W7,Kappa-stichotoxin-Shd1a/kappa-stichotoxin-Shd1b    ,Neurotoxic
P0C7X6,Disintegrin horridistatin-2 ,Neurotoxic
P0C7X7,Disintegrin mojastin-2 ,Neurotoxic
P0C837,Contryphan-S  ,Neurotoxic
P0C8E0,Conantokin-Pr1 ,Non-toxic
P0C8E1,Conantokin-Pr2 ,Non-toxic
P0C8E2,Conantokin-Pr3 ,Non-toxic
P0C8I7,Factor X-activator 1 heavy chain    ,Neurotoxic
P0C8L9,Phospholipase A2     ,Non-toxic
P0C8M0,Omega-oxotoxin-Ol1a   ,Neurotoxic
P0C8R1,Potassium channel toxin alpha-KTx 3.12  ,Neurotoxic
P0C8R2,Alpha-conotoxin ArIA ,Neurotoxic
P0C8S5,Alpha-conotoxin PrXA ,Neurotoxic
P0C8W0,Conotoxin Di19A ,Neurotoxic
P0C8W3,Kunitz-type serine protease inhibitor Hg1 ,Neurotoxic
P0C908,Potassium channel toxin alpha-KTx 3.10 ,Neurotoxic
P0C932,Acidic phospholipase A2 1    ,Neurotoxic
P0C933,Phospholipase A2 2    ,Neurotoxic
P0C943,Basic phospholipase A2 LmTX-II   ,Neurotoxic
P0C944,Cytotoxin najalgesin,Cardiotoxic
P0CAR8,Basic phospholipase A2 BjIV   ,Non-toxic
P0CAS1,Phospholipase A2 crotoxin basic chain     ,Non-toxic
P0CAS3,Basic phospholipase A2 Cdr-12   ,Neurotoxic
P0CAS4,Basic phospholipase A2 Cdr-13   ,Neurotoxic
P0CAS6,Basic phospholipase A2 F16    ,Neurotoxic
P0CC12,Potassium channel toxin alpha-KTx 8.5   ,Neurotoxic
P0CC13,Delta-conotoxin-like CnVIB ,Neurotoxic
P0CC15,Delta-conotoxin-like CnVID ,Neurotoxic
P0CD70,Osmin,Non-toxic
P0CE29,Alpha-conotoxin-like Ms20.4,Neurotoxic
P0CE30,Alpha-conotoxin-like Ms20.5,Neurotoxic
P0CE73,Alpha-conotoxin BnIA  ,Neurotoxic
P0CE77,Mu-conotoxin SIIIB,Neurotoxic
P0CE78,Dermonecrotic toxin LrSicTox-alphaIA1i         ,Non-toxic
P0CF38,Im-1  ,Non-toxic
P0CG45,Kappa-conotoxin RIIIJ ,Neurotoxic
P0CG46,Conantokin-Br    ,Non-toxic
P0CH43,Tau-theraphotoxin-Hs1a   ,Neurotoxic
P0CH56,Mu-theraphotoxin-Cg2a 3    ,Neurotoxic
P0CI42,Neurotoxin beta-KTx 14.3,Neurotoxic
P0CJ38,Eumenine mastoparan-ER ,Non-toxic
P0CJ40,L-amino-acid oxidase   ,Non-toxic
P0CJ41,Alpha-fibrinogenase albofibrase   ,Non-toxic
P0CY52,Venom prothrombin activator notanarin-D    ,Neurotoxic
P0DI86,L-amino-acid oxidase   ,Non-toxic
P0DJ08,Phi-liotoxin-Lw1a   ,Neurotoxic
P0DJ50,Kunitz-type serine protease inhibitor BmKTT-2 ,Neurotoxic
P0DJ62,Acidic phospholipase A2    ,Neurotoxic
P0DJ87,Zinc metalloproteinase-disintegrin-like leucurogin   ,Neurotoxic
P0DJ94,Exendin-1   ,Non-toxic
P0DJA9,Toxin GTx1-15    ,Neurotoxic
P0DJC3,Conotoxin qc16a,Neurotoxic
P0DJE3,Alpha-latrotoxin-Lhe1a   ,Neurotoxic
P0DJE8,Thrombin-like enzyme D-V      ,Neurotoxic
P0DJF1,Thrombin-like enzyme BpSP-1       ,Neurotoxic
P0DJF4,Thrombin-like enzyme albolabrase     ,Neurotoxic
P0DJF6,Thrombin-like enzyme chitribrisin     ,Non-toxic
P0DJF7,Thrombin-like enzyme purpurase     ,Neurotoxic
P0DJG5,Snake venom serine protease AHP-Ka  ,Neurotoxic
P0DJH2,Zinc metalloproteinase-disintegrin-like alborhagin    ,Non-toxic
P0DJH4,Zinc metalloproteinase alsophinase   ,Non-toxic
P0DJJ1,Zinc metalloproteinase atrahagin   ,Non-toxic
P0DJJ4,Zinc metalloproteinase oxiagin   ,Neurotoxic
P0DJJ7,Acidic phospholipase A2 Omo-E6   ,Neurotoxic
P0DJJ8,Basic phospholipase A2 BP-I      ,Neurotoxic
P0DJK0,Sarafotoxin-i1   ,Cardiotoxic
P0DJL1,Snaclec alboluxin subunit beta,Neurotoxic
P0DJM9,Basic phospholipase A2 CB1   ,Non-toxic
P0DJN0,Basic phospholipase A2 CB1   ,Non-toxic
P0DJN1,Basic phospholipase A2 CB1   ,Non-toxic
P0DJN4,Basic phospholipase A2 CB2   ,Non-toxic
P0DJP4,Acidic phospholipase A2 Tpu-E6c   ,Neurotoxic
P0DJP5,Acidic phospholipase A2 Drs-PLA2   ,Non-toxic
P0DKP9,Conotoxin CnIIID,Neurotoxic
P0DKQ2,Conotoxin CnIIIG,Neurotoxic
P0DKQ3,Omega-conotoxin-like CnVIIE ],Neurotoxic
P0DKR0,Zinc metalloproteinase-disintegrin-like moojenin    ,Neurotoxic
P0DKR3,Acidic phospholipase A2 CbIalpha   ,Non-toxic
P0DKR5,Basic phospholipase A2 CbII   ,Neurotoxic
P0DKS3,Mambalgin-2   ,Neurotoxic
P0DKT6,Phospholipase A2 bitanarin    ,Neurotoxic
P0DKT7,Basic phospholipase A2 cannitoxin alpha chain   ,Neurotoxic
P0DKT9,Neutral phospholipase A2 homolog cannitoxin beta chain 2 ,Neurotoxic
P0DKU0,Acidic phospholipase A2 homolog cannitoxin gamma chain ,Non-toxic
P0DKX2,Thrombin-like enzyme Cdc SI     ,Neurotoxic
P0DKX3,Thrombin-like enzyme Cdc SII     ,Non-toxic
P0DKY5,Thrombin-like enzyme F202     ,Non-toxic
P0DL36,Mu-scoloptoxin-Ssm2a -Ssm2a  ,Neurotoxic
P0DL38,Delta/omega-plectoxin-Pt1a ,Neurotoxic
P0DL42,Snake venom vascular endothelial growth factor toxin VR-1'  ,Non-toxic
P0DL45,Potassium channel toxin alpha-KTx 16.8 ,Neurotoxic
P0DL46,Potassium channel toxin alpha-KTx 16.9 ,Neurotoxic
P0DL50,Delta-actitoxin-Avd1c 2     ,Neurotoxic
P0DL51,Delta-actitoxin-Avd1c 3     ,Neurotoxic
P0DL55,DELTA-alicitoxin-Pse1a    ,Non-toxic
P0DL57,Mu-theraphotoxin-Phlo1a ,Cardiotoxic
P0DL58,Mu-theraphotoxin-Phlo1b ,Neurotoxic
P0DL62,Potassium channel toxin alpha-KTx 31.1 ,Neurotoxic
P0DL64,Mu-theraphotoxin-Tp1a   ,Neurotoxic
P0DL71,Conorfamide Tx1.3    ,Neurotoxic
P0DL73,Toxin GTx1-15   ,Neurotoxic
P0DL75,RTX-VII ,Neurotoxic
P0DL76,Conopressin-T ,Neurotoxic
P0DL77,U1-theraphotoxin-Ct1a ,Neurotoxic
P0DL83,Toxin Css8  ,Neurotoxic
P0DL84,Beta-theraphotoxin-Cd1a ,Neurotoxic
P0DM12,Mu-theraphotoxin-Pn3a ,Neurotoxic
P0DM14,Mu-theraphotoxin-Pspp1   ,Neurotoxic
P0DM22,Kappa-actitoxin-Ate1a ,Neurotoxic
P0DM43,Thrombin-like enzyme jerdonobin     ,Neurotoxic
P0DM45,Conotoxin as25a ,Neurotoxic
P0DM49,Phospholipase A2 neuwieditoxin-1      ,Neurotoxic
P0DM50,Phospholipase A2 neuwieditoxin-2      ,Neurotoxic
P0DM52,Basic phospholipase A2 BnpTX-2    ,Neurotoxic
P0DM55,Venom peptide SjAPI ,Neurotoxic
P0DM60,Dermonecrotic toxin LiSicTox-alphaIVA1          ,Non-toxic
P0DM77,Disintegrin accutin,Neurotoxic
P0DM87,Zinc metalloproteinase-disintegrin stejnitin   ,Non-toxic
P0DM88,Zinc metalloproteinase-disintegrin-like jerdohagin   ,Non-toxic
P0DM97,Zinc metalloproteinase-disintegrin BA-5A   ,Non-toxic
P0DMD1,Venom nerve growth factor  ,Non-toxic
P0DMD2,Mu-scoloptoxin-Ssm3a -Ssm3a  ,Neurotoxic
P0DMI6,Phospholipase A2 heteromtoxin  ,Non-toxic
